Main Activity,Sub-Activity,Hazard,Initial_L,Initial_S,Initial_Risk,Control_Measures,Residual_L,Residual_S,Residual_Risk
Work at Height,Scaffold erection,Fall from scaffold due to incomplete guardrails during installation,4,5,20,"Install guardrails progressively, use full body harness",2,5,10
Work at Height,Scaffold use,Worker falls from platform due to missing edge protection,4,5,20,Ensure guardrails and toe boards are in place; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Slip and fall on wet roof surface after rainfall,3,5,15,Use anti-slip footwear and suspend work during rain,2,5,10
Work at Height,Roof inspection,Fall through fragile roof panel during inspection activity,4,5,20,Install covers and warning signage; Use safety harness and lanyard at all times,2,5,10
Work at Height,Ladder work,Fall due to improper ladder angle on uneven ground,3,4,12,Secure ladder and maintain correct angle; Use safety harness and lanyard at all times,2,3,6
Work at Height,Facade work,Worker loses balance while handling materials at height in windy conditions,3,5,15,Use lifelines and secure materials,2,5,10
Electrical Works,Cable installation,Electric shock from exposed live conductor,3,5,15,Isolate power supply and use insulated tools,1,5,5
Electrical Works,Cable laying,Shock due to damaged cable insulation in wet environment,3,5,15,Inspect cables and use residual current device; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Panel testing,Arc flash during live panel testing without adequate PPE,3,5,15,Use arc-rated PPE and follow permit-to-work,1,5,5
Electrical Works,Maintenance,Unexpected energization due to failure in lockout procedure,3,5,15,Implement lockout-tagout system,1,5,5
Electrical Works,Temporary power,Overloaded extension cables causing overheating and fire risk,3,4,12,Use properly rated cables and avoid overloading; Obtain hot work permit and station fire extinguisher,2,3,6
Excavation,Trenching,Collapse of trench due to unstable soil conditions,4,5,20,Install shoring and conduct soil assessment,2,5,10
Excavation,Trenching,Trench wall failure after heavy rainfall leading to burial,4,5,20,Provide drainage and reinforcement; Use safety harness and lanyard at all times,2,5,10
Excavation,Deep excavation,Ground collapse due to groundwater seepage,4,5,20,Implement dewatering system,2,5,10
Excavation,Utility excavation,Striking underground electrical cable due to poor detection,3,5,15,Conduct utility scanning before excavation; Apply lockout tagout and use insulated gloves,1,5,5
Excavation,Earthmoving,Worker struck by excavator due to blind spot,4,5,20,Assign banksman and segregate work zones,2,5,10
Lifting Operations,Crane lifting,Load dropped due to failure of lifting sling,4,5,20,Inspect lifting gear before use,2,5,10
Lifting Operations,Crane lifting,Uncontrolled load swing caused by sudden wind,3,5,15,Use taglines and monitor weather,2,5,10
Lifting Operations,Rigging,Improper sling angle causing load imbalance,3,4,12,Ensure correct rigging method; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Tandem lifting,Miscoordination between cranes leading to instability,3,5,15,Appoint lifting supervisor and follow plan,2,5,10
Lifting Operations,Material lifting,Load falls due to improper securing,4,5,20,Secure load using proper techniques; Use safety harness and lanyard at all times,2,5,10
Concrete Works,Concrete pouring,Formwork collapse due to excessive loading during pour,4,5,20,Follow design limits and inspect formwork,2,5,10
Concrete Works,Formwork erection,Fall from height while installing formwork panels,4,5,20,Use fall protection systems; Use safety harness and lanyard at all times,2,5,10
Concrete Works,Finishing,Slip on wet concrete surface causing minor injury,3,2,6,Maintain housekeeping and signage,2,2,4
Concrete Works,Reinforcement work,Injury from exposed rebar causing impalement risk,3,5,15,Install rebar caps,2,4,8
Welding Works,Arc welding,Eye injury due to exposure to welding arc radiation,3,3,9,Use welding helmet with proper filter,1,2,2
Welding Works,Arc welding,Fume inhalation in poorly ventilated confined space,3,5,15,Provide local exhaust ventilation,1,5,5
Welding Works,Gas cutting,Sparks igniting nearby combustible materials,3,5,15,Clear flammable materials and assign fire watch,1,5,5
Welding Works,Hot work,Burn injury from contact with hot metal surfaces,3,4,12,Use heat-resistant gloves,2,3,6
Material Handling,Manual lifting,Back strain due to repetitive lifting of heavy loads,4,3,12,Provide mechanical aids and training,2,2,4
Material Handling,Manual handling,Injury due to improper lifting posture,4,3,12,Train workers on proper lifting techniques,2,2,4
Material Handling,Forklift operation,Collision with pedestrian at blind corner,4,5,20,Install mirrors and segregate pathways,2,5,10
Material Handling,Forklift operation,Forklift overturn due to excessive speed while turning,3,5,15,Enforce speed limits and training,2,4,8
Demolition,Wall demolition,Collapse of partially demolished wall,4,5,20,Follow demolition sequence and provide support,2,5,10
Demolition,Structural demolition,Falling debris impacting nearby workers,4,5,20,Establish exclusion zones; Use safety harness and lanyard at all times,2,5,10
Demolition,Interior demolition,Exposure to airborne dust particles,3,3,9,Use respiratory protection,2,2,4
Confined Space,Tank entry,Toxic gas exposure due to poor ventilation,3,5,15,Conduct gas testing and provide ventilation,1,5,5
Confined Space,Manhole work,Oxygen deficiency inside confined space,3,5,15,Continuous monitoring and ventilation,1,5,5
Confined Space,Sewer work,Sudden release of hazardous gases during cleaning,3,5,15,Use gas detectors and standby personnel,1,5,5
Chemical Handling,Painting,Inhalation of solvent vapors in enclosed space,3,4,12,Use respirator and ventilation,2,3,6
Chemical Handling,Solvent use,Fire caused by ignition of flammable vapors,3,5,15,Eliminate ignition sources; Provide respiratory mask and ensure ventilation,1,5,5
Chemical Handling,Epoxy application,Skin irritation due to chemical exposure,3,2,6,Use gloves and protective clothing,2,2,4
Piling Works,Bored piling,Borehole collapse due to unstable ground,3,5,15,Install casing and monitor conditions,2,5,10
Piling Works,Pile driving,Excessive noise causing hearing damage,4,3,12,Provide hearing protection,2,2,4
Piling Works,Equipment setup,Rig instability due to uneven ground,3,5,15,Level and stabilize equipment,2,5,10
Site Preparation,Land clearing,Worker struck by moving equipment due to poor visibility,4,5,20,Use spotter and high-visibility PPE,2,5,10
Site Preparation,Grading,Vehicle skidding on loose or muddy ground,3,4,12,Stabilize surface and control speed,2,3,6
Site Preparation,General work,Trip hazard due to scattered debris,3,2,6,Maintain housekeeping,2,2,4
Work at Height,Scaffold inspection,Fall due to missing inspection tag and unsafe scaffold condition,4,5,20,Implement scaffold tagging system and inspections; Use safety harness and lanyard at all times,2,5,10
Work at Height,Edge work,Worker falls from open edge without guardrails,4,5,20,Install edge protection and safety barriers; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof maintenance,Loss of balance while carrying tools on sloped roof,3,5,15,Use tool lanyards and fall arrest system,2,5,10
Work at Height,Ladder access,Slip while descending ladder due to contaminated footwear,3,4,12,Maintain clean footwear and ladder grips,2,3,6
Work at Height,Platform work,Fall due to overreaching beyond platform limits,3,5,15,Train workers to avoid overreaching; Use safety harness and lanyard at all times,2,5,10
Electrical Works,Cable pulling,Electric shock from damaged insulation during pulling activity,3,5,15,Inspect cables before installation; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Switchboard work,Arc flash due to improper isolation during maintenance,3,5,15,Apply lockout-tagout and test isolation,1,5,5
Electrical Works,Temporary wiring,Fire risk from overheated temporary cables,3,4,12,Use certified cables and proper load distribution; Obtain hot work permit and station fire extinguisher,2,3,6
Electrical Works,Testing,Electric shock during testing of live circuits without PPE,3,5,15,Use insulated gloves and tools,1,5,5
Electrical Works,Installation,Contact with concealed live wiring during drilling,3,5,15,Scan walls before drilling,1,5,5
Excavation,Trench work,Collapse due to unsupported trench walls in loose soil,4,5,20,Install trench support system,2,5,10
Excavation,Excavation near structure,Foundation instability caused by nearby excavation,4,5,20,Conduct structural assessment,2,5,10
Excavation,Manual digging,Worker injury from striking buried objects,3,4,12,Use detection tools and PPE,2,3,6
Excavation,Deep pit excavation,Water accumulation weakening excavation walls,4,5,20,Provide pumping and drainage system,2,5,10
Excavation,Backfilling,Worker struck by moving compaction equipment,4,5,20,Establish exclusion zones,2,5,10
Lifting Operations,Crane lifting,Load falls due to improper rigging method,4,5,20,Ensure certified riggers and proper slinging; Use safety harness and lanyard at all times,2,5,10
Lifting Operations,Crane operation,Collision with structure due to poor visibility,3,5,15,Use signalman and cameras,2,5,10
Lifting Operations,Lifting heavy equipment,Failure of lifting gear due to lack of inspection,3,5,15,Inspect lifting equipment regularly,2,5,10
Lifting Operations,Material hoisting,Load swing hitting nearby workers,3,5,15,Use taglines and restrict access,2,5,10
Lifting Operations,Mobile crane setup,Crane instability due to uneven ground,3,5,15,Level ground and use outriggers properly,2,5,10
Concrete Works,Concrete pouring,Formwork leakage causing sudden structural failure,4,5,20,Inspect formwork integrity,2,5,10
Concrete Works,Reinforcement work,Cuts from sharp steel reinforcement edges,3,3,9,Use gloves and protective gear,2,2,4
Concrete Works,Formwork dismantling,Fall during removal of elevated formwork panels,4,5,20,Use fall protection equipment; Use safety harness and lanyard at all times,2,5,10
Concrete Works,Surface finishing,Slip due to wet and uneven concrete surface,3,2,6,Maintain clean working area,2,2,4
Concrete Works,Concrete mixing,Exposure to cement dust causing respiratory irritation,3,3,9,Use dust masks and ventilation,2,2,4
Welding Works,Arc welding,Exposure to intense light causing eye injury,3,3,9,Use welding helmet with proper filter,1,2,2
Welding Works,Hot work,Burn injury from contact with hot metal surfaces,3,4,12,Use heat-resistant gloves,2,3,6
Welding Works,Gas cutting,Gas leak leading to fire or explosion,3,5,15,Check hoses and connections; Provide respiratory mask and ensure ventilation,1,5,5
Welding Works,Confined welding,Fume buildup due to lack of ventilation,3,5,15,Provide forced ventilation,1,5,5
Welding Works,Grinding,Sparks igniting combustible materials nearby,3,5,15,Clear flammable materials,1,5,5
Material Handling,Manual lifting,Muscle strain from lifting heavy materials repeatedly,4,3,12,Provide lifting aids and training,2,2,4
Material Handling,Manual handling,Injury from carrying awkward shaped loads,3,3,9,Use team lifting,2,2,4
Material Handling,Forklift use,Collision due to restricted visibility while carrying load,4,5,20,Drive in reverse when load blocks view,2,5,10
Material Handling,Forklift operation,Forklift overturn on uneven surface,3,5,15,Operate on stable surfaces,2,4,8
Material Handling,Storage,Materials falling from improperly stacked loads,3,4,12,Follow proper stacking procedures; Use safety harness and lanyard at all times,2,3,6
Demolition,Wall demolition,Unexpected collapse of wall during breaking works,4,5,20,Follow demolition sequence,2,5,10
Demolition,Concrete breaking,Flying debris causing injury to workers,4,4,16,Use face shields and barriers,2,3,6
Demolition,Structural removal,Collapse due to removal of load-bearing elements,4,5,20,Obtain engineering approval,2,5,10
Demolition,Interior stripping,Exposure to airborne dust and particles,3,3,9,Use respiratory protection,2,2,4
